iter	Passed	Remaining
863	7563	1190
864	7567	1181
865	7570	1171
866	7577	1162
867	7579	1152
868	7584	1143
869	7588	1133
870	7590	1124
871	7593	1114
872	7595	1104
873	7599	1095
874	7601	1085
875	7604	1076
876	7606	1066
877	7611	1057
878	7615	1048
879	7619	1039
880	7623	1029
881	7630	1020
882	7653	1014
883	7659	1005
884	7663	995
885	7671	987
886	7674	977
887	7691	970
888	7701	961
889	7713	953
890	7718	944
891	7733	936
892	7766	930
893	7782	922
894	7795	914
895	7803	905
896	7810	896
897	7818	888
898	7826	879
899	7843	871
900	7848	862
901	7853	853
902	7855	843
903	7858	834
904	7863	825
905	7879	817
906	7887	808
907	7903	800
908	7907	791
909	7920	783
910	7941	775
911	7948	766
912	7963	758
913	7970	750
914	8008	743
915	8019	735
916	8047	728
917	8059	719
918	8082	712
919	8089	703
920	8092	694
921	8097	685
922	8101	675
923	8117	667
924	8119	658
925	8147	651
926	8265	650
927	8298	643
928	8307	634
929	8344	628
930	8357	619
931	8369	610
932	8381	601
933	8397	593
934	8410	584
935	8414	575
936	8417	565
937	8422	556
938	8428	547
939	8436	538
940	8441	529
941	8449	520
942	8457	511
943	8478	502
944	8510	495
945	8533	487
946	8546	478
947	8560	469
948	8580	461
949	8592	452
950	8600	443
951	8615	434
952	8639	426
953	8651	417
954	8692	409
955	8696	400
956	8707	391
957	8720	382
958	8730	373
959	8734	363
960	8738	354
961	8754	345
962	8757	336
963	8775	327
964	8785	318
965	8796	309
966	8801	300
967	8817	291
968	8821	282
969	8826	272
970	8830	263
971	8839	254
972	8850	245
973	8853	236
974	8858	227
975	8886	218
976	8925	210
977	8929	200
978	8951	192
979	8964	182
980	8992	174
981	9009	165
982	9035	156
983	9056	147
984	9074	138
985	9104	129
986	9106	119
987	9120	110
988	9130	101
989	9135	92
990	9141	83
991	9145	73
992	9152	64
993	9159	55
994	9172	46
995	9174	36
996	9175	27
997	9185	18
998	9187	9
999	9190	0
